Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
27,No Record,Middle Income,1,No,No Record,0
28,No Record,Middle Income,6,No,No,0
31,No Record,Middle Income,3,No,No,0
34,No Record,Middle Income,5,No,No,0
34,No Record,Middle Income,2,Yes,No,0
30,No Record,Middle Income,5,Yes,No Record,0
33,Yes,Middle Income,3,Yes,No,0
37,No Record,Middle Income,5,Yes,No,0
28,Yes,Middle Income,4,Yes,No,0
38,No,Low Income,1,No,Yes,0
37,No Record,Middle Income,2,No,No,0
31,Yes,Middle Income,1,No,No,0
31,No Record,Middle Income,2,No,No,0
27,Yes,Middle Income,5,No,Yes,0
28,No Record,Middle Income,3,No,Yes,0
37,No Record,Middle Income,2,No Record,No,0
29,Yes,Middle Income,1,No,No Record,0
34,No Record,Middle Income,2,Yes,No,0
33,No Record,Middle Income,2,No Record,No,0
37,No Record,Low Income,4,Yes,No,0
36,No Record,Middle Income,1,No Record,No,0
30,No Record,Middle Income,1,No,Yes,0
29,No Record,Middle Income,2,No,No,0
29,No Record,Low Income,1,Yes,Yes,0
29,No Record,Middle Income,4,No,Yes,0
29,Yes,Middle Income,3,No,No,0
30,No Record,Middle Income,2,Yes,No,0
30,No Record,Middle Income,1,No,No,0
37,No Record,Middle Income,3,No,No,0
30,No Record,Middle Income,2,Yes,No,0
31,No Record,Middle Income,1,Yes,No,0
30,No Record,Middle Income,2,Yes,No,0
37,No Record,Middle Income,2,Yes,No,0
30,No Record,Middle Income,3,No,No,0
36,No Record,Middle Income,2,Yes,No,0
37,No Record,Low Income,2,No,Yes,0
30,No,Middle Income,2,No Record,Yes,0
30,No Record,Middle Income,1,No,No Record,0
36,No Record,Middle Income,6,No,Yes,0
30,Yes,High Income,2,Yes,Yes,1
34,No Record,Middle Income,2,Yes,No,0
30,No Record,Low Income,1,Yes,No,0
37,No Record,Middle Income,1,Yes,No,0
39,No Record,Middle Income,5,No,No Record,0
30,No Record,Middle Income,3,No,Yes,0
38,Yes,Middle Income,1,No,yes,0
30,No Record,Middle Income,3,No,Yes,0
31,No Record,Middle Income,1,Yes,No Record,0
31,No Record,Low Income,1,No,Yes,0
29,No Record,Middle Income,1,Yes,No Record,0
30,No Record,Middle Income,4,No,No,0
28,No Record,Low Income,1,Yes,Yes,0
35,No Record,Middle Income,2,No,No,0
36,No Record,Middle Income,5,No,No,0
33,No Record,Middle Income,3,No,No,1
30,No Record,Middle Income,1,No,Yes,0
30,No Record,Middle Income,5,Yes,No,0
37,No Record,High Income,5,Yes,No,0
34,No Record,Middle Income,1,Yes,No,0
35,No Record,Middle Income,6,No,No,0
30,No Record,Middle Income,3,No,No,0
36,No Record,Middle Income,2,Yes,No,1
35,No Record,Middle Income,2,No,Yes,0
34,No Record,Low Income,1,No,Yes,0
38,No Record,Middle Income,3,No,No,0
36,No Record,Middle Income,1,No,No Record,0
30,No Record,Middle Income,1,No,Yes,0
38,No Record,Middle Income,4,Yes,No,0
28,No Record,Middle Income,2,Yes,No,0
34,No Record,Middle Income,2,Yes,No,0
30,No Record,Middle Income,4,No,Yes,0
34,No Record,Middle Income,4,No Record,No,0
30,No Record,Middle Income,2,Yes,Yes,0
31,Yes,Low Income,4,No,No,0
33,No Record,Middle Income,1,No,No,0
30,No Record,Middle Income,1,No,Yes,0
31,No Record,Middle Income,6,No,No,0
37,No Record,Middle Income,1,No,No,0
34,No Record,Middle Income,1,Yes,Yes,0
37,Yes,Middle Income,6,Yes,No,0
30,No Record,Middle Income,2,No,No,0
37,No Record,Low Income,2,No,Yes,0
29,No Record,Middle Income,2,Yes,No,0
33,No Record,Middle Income,3,Yes,No,0
30,No Record,Middle Income,2,No,No,0
29,No Record,High Income,2,No,Yes,0
38,No Record,Middle Income,1,No,Yes,0
27,No Record,Middle Income,4,Yes,No,0
30,No Record,Low Income,2,No,No,0
36,No Record,Low Income,1,Yes,Yes,0
28,No Record,Middle Income,2,No,No,0
30,No Record,Middle Income,3,No Record,No,0
27,No Record,Middle Income,4,No,Yes,0
28,No Record,Middle Income,3,Yes,No,0
34,No Record,Middle Income,1,No Record,Yes,0
38,No Record,Low Income,2,Yes,Yes,0
35,No Record,Middle Income,3,No,No,0
30,Yes,Low Income,1,No,No,0
37,No Record,Middle Income,1,No Record,No,0
30,No Record,Low Income,4,No,No,0
37,No Record,Middle Income,2,Yes,No,0
37,No Record,Middle Income,1,No,Yes,0
29,Yes,Middle Income,3,Yes,No,0
