date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.027,7,0.809,0.049,0.293,0.003,0.423,0.415,DOWN
0.023,2,0.872,0.083,0.453,0.003,0.423,0.415,DOWN
0.912,4,0.277,0.051,0.406,0.003,0.561,0.475,UP
0.439,4,0.213,0.046,0.194,0.003,0.423,0.415,DOWN
0.885,2,0.319,0.055,0.612,0.004,0.677,0.253,UP
0.009,5,0.511,0.044,0.595,0.003,0.423,0.415,DOWN
0.429,2,0.213,0.078,0.249,0.003,0.423,0.415,DOWN
0.434,3,0.319,0.043,0.517,0.003,0.423,0.415,DOWN
0.425,3,0.553,0.057,0.424,0.003,0.423,0.415,UP
0.881,5,0.617,0.029,0.513,0.002,0.582,0.362,DOWN
0.027,2,0.277,0.048,0.216,0.003,0.423,0.415,DOWN
0.877,1,0.468,0.041,0.453,0.003,0.283,0.629,UP
0.474,6,0.766,0.025,0.434,0.002,0.334,0.74,UP
0.47,6,0.681,0.044,0.499,0.003,0.497,0.254,DOWN
0.465,6,0.043,0.028,0.332,0.002,0.388,0.537,DOWN
0.018,2,0.447,0.048,0.564,0.003,0.423,0.415,DOWN
0.009,6,0.021,0.056,0.287,0.003,0.423,0.415,DOWN
0.004,7,0.064,0.044,0.216,0.003,0.423,0.415,DOWN
0.001,7,0.936,0.044,0.492,0.003,0.423,0.415,DOWN
0.474,6,0.638,0.07,0.521,0.005,0.533,0.398,UP
0.457,7,0.043,0.027,0.221,0.002,0.33,0.681,DOWN
0.911,2,0.787,0.051,0.473,0.003,0.346,0.797,UP
0.027,7,0.872,0.048,0.261,0.003,0.423,0.415,DOWN
0.439,3,0.298,0.056,0.497,0.003,0.423,0.415,DOWN
0.894,7,0.681,0.03,0.436,0.002,0.413,0.684,DOWN
0.013,2,0.596,0.042,0.555,0.003,0.423,0.415,DOWN
0.023,6,0.574,0.071,0.261,0.003,0.423,0.415,DOWN
0.895,6,0.574,0.081,0.499,0.005,0.627,0.497,UP
0.461,7,0.383,0.066,0.555,0.004,0.537,0.386,UP
0.438,5,0.255,0.057,0.214,0.003,0.423,0.415,DOWN
0.018,3,0.787,0.075,0.504,0.003,0.423,0.415,DOWN
0.456,4,0.298,0.043,0.52,0.003,0.552,0.459,DOWN
0.895,4,0.468,0.055,0.616,0.003,0.482,0.835,UP
0.022,5,0.532,0.058,0.345,0.003,0.423,0.415,DOWN
0.438,6,0.234,0.056,0.181,0.003,0.423,0.415,DOWN
0.461,6,0.255,0.031,0.372,0.002,0.405,0.485,DOWN
0.899,5,0.342,0.08,0.805,0.005,0.797,0.433,UP
0.032,7,0.574,0.068,0.338,0.003,0.423,0.415,UP
0.018,5,0.66,0.07,0.485,0.003,0.423,0.415,DOWN
0.443,2,0.468,0.044,0.557,0.003,0.502,0.479,DOWN
0.461,2,0.957,0.029,0.383,0.002,0.296,0.607,DOWN
0.014,1,0.702,0.047,0.498,0.003,0.423,0.415,DOWN
0.434,3,0.894,0.047,0.446,0.003,0.423,0.415,DOWN
0.014,7,0.191,0.041,0.077,0.003,0.423,0.415,DOWN
0.469,5,0.085,0.027,0.295,0.002,0.299,0.661,DOWN
0.894,4,0.745,0.078,0.744,0.005,0.758,0.382,UP
0.456,1,1.0,0.046,0.494,0.003,0.432,0.657,UP
0.89,2,0.128,0.081,0.299,0.004,0.467,0.656,DOWN
0.026,5,0.574,0.073,0.498,0.003,0.423,0.415,DOWN
0.47,7,0.426,0.029,0.387,0.002,0.364,0.724,DOWN
0.023,3,0.298,0.106,0.386,0.003,0.423,0.415,UP
0.001,4,0.234,0.0444,0.194,0.003,0.423,0.415,DOWN
0.023,1,0.894,0.061,0.368,0.003,0.423,0.415,DOWN
0.438,3,0.319,0.05,0.443,0.003,0.423,0.415,DOWN
0.889,7,0.617,0.033,0.338,0.002,0.284,0.661,DOWN
0.027,6,0.298,0.098,0.406,0.003,0.423,0.415,UP
0.474,1,0.128,0.023,0.058,0.001,0.158,0.808,DOWN
0.426,1,0.979,0.058,0.338,0.003,0.423,0.415,DOWN
0.898,5,0.362,0.085,0.553,0.006,0.584,0.43,UP
0.023,6,0.34,0.073,0.418,0.003,0.423,0.415,UP
0.023,1,0.064,0.057,0.153,0.003,0.423,0.415,DOWN
0.426,6,0.468,0.08,0.388,0.003,0.423,0.415,UP
0.022,7,0.532,0.046,0.203,0.003,0.423,0.415,UP
0.872,1,0.149,0.027,0.144,0.002,0.182,0.838,DOWN
0.881,1,0.404,0.031,0.33,0.002,0.207,0.846,DOWN
0.903,1,0.191,0.025,0.063,0.002,0.111,0.779,DOWN
0.027,3,0.745,0.05,0.551,0.003,0.423,0.415,DOWN
0.022,6,0.638,0.075,0.378,0.003,0.423,0.415,UP
0.026,1,0.426,0.075,0.431,0.003,0.423,0.415,UP
0.425,1,0.851,0.057,0.387,0.003,0.423,0.415,DOWN
0.474,1,0.574,0.034,0.212,0.002,0.129,0.521,DOWN
0.465,7,0.745,0.029,0.461,0.002,0.384,0.412,DOWN
0.447,7,0.979,0.018,0.42,0.0011,0.283,0.766,DOWN
0.026,4,0.383,0.09,0.438,0.003,0.423,0.415,UP
0.023,5,0.574,0.079,0.479,0.003,0.423,0.415,DOWN
0.88,4,0.085,0.026,0.198,0.002,0.287,0.625,DOWN
0.005,4,0.043,0.076,0.391,0.003,0.423,0.415,DOWN
0.881,5,0.681,0.027,0.493,0.002,0.349,0.774,DOWN
0.005,4,0.681,0.075,0.514,0.003,0.423,0.415,UP
0.447,4,0.511,0.055,0.596,0.004,0.598,0.391,DOWN
0.434,7,0.936,0.047,0.322,0.003,0.423,0.415,DOWN
0.447,7,0.766,0.059,0.618,0.004,0.34,0.526,UP
0.023,6,0.766,0.071,0.23,0.003,0.423,0.415,UP
0.912,5,0.043,0.043,0.269,0.003,0.453,0.337,DOWN
0.018,6,0.723,0.076,0.435,0.003,0.423,0.415,DOWN
0.031,2,0.277,0.077,0.421,0.003,0.423,0.415,DOWN
0.018,2,0.979,0.058,0.478,0.003,0.423,0.415,DOWN
0.426,6,0.596,0.058,0.323,0.003,0.423,0.415,DOWN
0.447,4,0.277,0.035,0.527,0.002,0.508,0.516,DOWN
0.435,1,0.915,0.044,0.299,0.003,0.423,0.415,DOWN
0.032,5,0.787,0.088,0.464,0.003,0.423,0.415,UP
0.438,6,0.085,0.044,0.214,0.003,0.423,0.415,DOWN
0.872,7,0.277,0.03,0.356,0.002,0.248,0.903,DOWN
0.47,7,0.149,0.03,0.141,0.002,0.209,0.864,DOWN
0.894,3,0.213,0.062,0.264,0.004,0.349,0.71,DOWN
0.903,4,0.085,0.043,0.276,0.003,0.361,0.563,DOWN
0.009,2,0.851,0.042,0.583,0.003,0.423,0.415,DOWN
0.013,4,0.191,0.041,0.206,0.003,0.423,0.415,DOWN
0.032,1,0.383,0.055,0.262,0.003,0.423,0.415,DOWN
0.014,6,0.723,0.056,0.574,0.003,0.423,0.415,DOWN
0.456,7,0.617,0.058,0.339,0.004,0.316,0.694,UP
0.469,1,0.234,0.028,0.108,0.002,0.168,0.572,DOWN
0.885,7,0.617,0.035,0.311,0.002,0.295,0.777,DOWN
0.903,6,0.021,0.075,0.408,0.005,0.401,0.476,DOWN
0.434,1,0.043,0.048,0.22,0.003,0.423,0.415,DOWN
0.018,5,0.957,0.048,0.414,0.003,0.423,0.415,DOWN
0.89,1,0.298,0.031,0.478,0.002,0.368,0.621,DOWN
0.013,1,0.894,0.041,0.263,0.003,0.423,0.415,DOWN
0.425,7,0.149,0.067,0.088,0.003,0.423,0.415,DOWN
0.868,2,0.277,0.038,0.395,0.002,0.363,0.709,DOWN
0.868,4,0.277,0.037,0.472,0.003,0.52,0.556,DOWN
0.018,6,0.34,0.043,0.372,0.003,0.423,0.415,DOWN
0.023,4,0.532,0.078,0.472,0.003,0.423,0.415,DOWN
0.911,7,0.021,0.043,0.266,0.003,0.234,0.479,DOWN
0.001,2,0.66,0.044,0.46,0.003,0.423,0.415,DOWN
0.447,3,0.702,0.043,0.519,0.003,0.554,0.396,DOWN
0.43,3,0.383,0.085,0.558,0.003,0.423,0.415,DOWN
0.425,5,0.915,0.079,0.37,0.003,0.423,0.415,DOWN
0.023,7,0.362,0.081,0.368,0.003,0.423,0.415,UP
0.439,6,0.149,0.04,0.129,0.003,0.423,0.415,DOWN
0.022,2,0.34,0.107,0.564,0.003,0.423,0.415,UP
0.439,3,0.809,0.057,0.534,0.003,0.423,0.415,DOWN
0.873,4,0.298,0.028,0.375,0.002,0.268,0.834,DOWN
0.885,2,0.936,0.034,0.421,0.002,0.327,0.694,DOWN
0.018,3,0.894,0.046,0.354,0.003,0.423,0.415,DOWN
0.876,3,0.447,0.032,0.55,0.002,0.335,0.793,UP
0.456,6,0.128,0.025,0.255,0.002,0.327,0.788,DOWN
0.474,5,0.277,0.031,0.299,0.002,0.234,0.654,UP
0.005,6,0.149,0.043,0.135,0.003,0.423,0.415,DOWN
0.868,7,0.809,0.029,0.41,0.002,0.349,0.786,DOWN
0.452,5,0.319,0.034,0.553,0.002,0.558,0.394,DOWN
0.005,7,0.979,0.089,0.458,0.003,0.423,0.415,UP
0.438,4,0.255,0.063,0.422,0.003,0.423,0.415,UP
0.465,7,0.362,0.028,0.299,0.002,0.209,0.565,DOWN
0.434,7,0.596,0.048,0.257,0.003,0.423,0.415,DOWN
0.022,5,0.532,0.057,0.427,0.003,0.423,0.415,DOWN
0.032,7,0.213,0.058,0.047,0.003,0.423,0.415,DOWN
0.434,3,0.17,0.047,0.154,0.003,0.423,0.415,DOWN
0.027,4,0.83,0.054,0.459,0.003,0.423,0.415,DOWN
0.439,7,0.043,0.048,0.227,0.003,0.423,0.415,DOWN
0.438,1,0.787,0.063,0.483,0.003,0.423,0.415,DOWN
0.032,6,0.319,0.058,0.205,0.003,0.423,0.415,DOWN
0.889,7,0.362,0.029,0.507,0.002,0.347,0.691,DOWN
0.023,4,0.617,0.09,0.405,0.003,0.423,0.415,UP
0.01,5,0.915,0.042,0.521,0.003,0.423,0.415,DOWN
0.469,4,0.043,0.048,0.434,0.003,0.452,0.549,DOWN
0.026,3,0.404,0.074,0.446,0.003,0.423,0.415,UP
0.452,5,0.255,0.033,0.334,0.002,0.328,0.736,DOWN
0.439,3,1.0,0.055,0.508,0.003,0.423,0.415,DOWN
0.872,4,0.894,0.03,0.279,0.002,0.323,0.737,DOWN
0.031,6,0.064,0.053,0.272,0.003,0.423,0.415,DOWN
0.443,5,0.638,0.054,0.535,0.004,0.522,0.369,DOWN
0.032,6,0.553,0.058,0.262,0.003,0.423,0.415,DOWN
0.004,7,0.83,0.044,0.345,0.003,0.423,0.415,DOWN
0.443,7,0.362,0.057,0.376,0.003,0.257,0.501,DOWN
0.022,1,0.596,0.057,0.467,0.003,0.423,0.415,DOWN
0.014,5,0.957,0.041,0.574,0.003,0.423,0.415,DOWN
0.014,3,0.426,0.041,0.578,0.003,0.423,0.415,DOWN
0.889,6,0.149,0.025,0.126,0.002,0.211,0.589,DOWN
0.027,6,0.936,0.046,0.268,0.003,0.423,0.415,DOWN
0.009,6,0.723,0.042,0.519,0.003,0.423,0.415,DOWN
0.456,6,0.362,0.035,0.604,0.002,0.562,0.456,UP
0.429,6,0.979,0.075,0.373,0.003,0.423,0.415,UP
0.881,5,0.234,0.029,0.231,0.001,0.282,0.777,UP
0.434,1,0.191,0.05,0.148,0.003,0.423,0.415,DOWN
0.001,1,0.447,0.044,0.51,0.003,0.423,0.415,DOWN
0.439,5,0.851,0.075,0.406,0.003,0.423,0.415,UP
0.018,6,0.468,0.041,0.342,0.003,0.423,0.415,DOWN
0.469,4,0.894,0.028,0.425,0.002,0.297,0.599,DOWN
0.004,5,0.362,0.046,0.521,0.003,0.423,0.415,DOWN
0.425,5,0.468,0.058,0.376,0.003,0.423,0.415,DOWN
0.001,1,0.766,0.119,0.47,0.003,0.423,0.415,UP
0.469,4,0.021,0.027,0.329,0.002,0.234,0.625,DOWN
0.019,5,0.596,0.065,0.497,0.003,0.423,0.415,DOWN
0.014,7,0.447,0.076,0.38,0.003,0.423,0.415,UP
0.461,2,0.255,0.029,0.287,0.002,0.202,0.557,DOWN
0.032,7,0.213,0.066,0.171,0.003,0.423,0.415,UP
0.429,5,0.532,0.086,0.494,0.003,0.423,0.415,UP
0.005,4,0.617,0.082,0.573,0.003,0.423,0.415,UP
0.01,6,0.383,0.042,0.504,0.003,0.423,0.415,DOWN
0.023,2,0.362,0.058,0.455,0.003,0.423,0.415,UP
0.912,5,0.043,0.043,0.347,0.003,0.425,0.503,DOWN
0.443,7,0.681,0.074,0.298,0.005,0.235,0.472,UP
0.912,4,0.043,0.044,0.341,0.003,0.402,0.556,DOWN
0.014,5,0.106,0.041,0.333,0.003,0.423,0.415,DOWN
0.881,6,0.106,0.028,0.128,0.002,0.285,0.746,DOWN
0.429,2,0.787,0.058,0.468,0.003,0.423,0.415,DOWN
0.005,6,0.787,0.042,0.537,0.003,0.423,0.415,DOWN
0.001,1,0.766,0.044,0.476,0.003,0.423,0.415,DOWN
0.434,4,0.234,0.068,0.289,0.003,0.423,0.415,UP
0.027,4,0.66,0.075,0.488,0.003,0.423,0.415,DOWN
0.027,2,0.362,0.114,0.558,0.003,0.423,0.415,UP
0.912,4,0.489,0.085,0.508,0.006,0.505,0.326,DOWN
0.474,3,0.085,0.021,0.167,0.001,0.231,0.702,DOWN
0.001,2,0.979,0.044,0.483,0.003,0.423,0.415,DOWN
0.434,3,0.532,0.064,0.441,0.003,0.423,0.415,UP
0.022,5,0.106,0.044,0.166,0.003,0.423,0.415,DOWN
0.005,7,0.064,0.044,0.374,0.003,0.423,0.415,DOWN
0.022,3,0.383,0.06,0.542,0.003,0.423,0.415,DOWN
0.027,1,0.447,0.081,0.432,0.003,0.423,0.415,UP
0.031,7,0.277,0.075,0.253,0.003,0.423,0.415,UP
0.452,4,0.553,0.039,0.586,0.003,0.616,0.442,UP
0.872,4,0.681,0.028,0.549,0.002,0.553,0.703,DOWN
0.009,4,0.832,0.09,0.706,0.003,0.423,0.415,UP
0.014,4,0.213,0.041,0.187,0.003,0.423,0.415,DOWN
0.456,4,0.447,0.035,0.592,0.002,0.626,0.461,UP
0.908,6,0.596,0.044,0.49,0.003,0.53,0.286,DOWN
0.018,4,0.043,0.044,0.292,0.003,0.423,0.415,DOWN
0.889,4,0.34,0.03,0.54,0.002,0.599,0.225,DOWN
0.014,6,0.745,0.041,0.599,0.003,0.423,0.415,DOWN
0.885,1,0.064,0.03,0.349,0.002,0.356,0.606,DOWN
0.027,7,0.043,0.049,0.152,0.003,0.423,0.415,DOWN
0.426,7,0.894,0.07,0.307,0.003,0.423,0.415,UP
0.908,7,0.851,0.059,0.376,0.004,0.388,0.641,DOWN
0.018,2,0.34,0.047,0.533,0.003,0.423,0.415,DOWN
0.031,3,0.851,0.06,0.412,0.003,0.423,0.415,DOWN
0.867,5,0.085,0.021,0.152,0.001,0.289,0.761,DOWN
0.031,2,0.426,0.087,0.564,0.003,0.423,0.415,UP
0.018,5,0.787,0.082,0.456,0.003,0.423,0.415,DOWN
0.026,7,0.851,0.048,0.339,0.003,0.423,0.415,DOWN
0.018,1,0.085,0.041,0.163,0.003,0.423,0.415,DOWN
0.013,1,0.979,0.042,0.532,0.003,0.423,0.415,DOWN
0.872,4,0.511,0.033,0.467,0.002,0.589,0.642,UP
0.018,3,0.021,0.075,0.312,0.003,0.423,0.415,UP
0.013,1,0.596,0.041,0.499,0.003,0.423,0.415,DOWN
0.903,4,0.404,0.089,0.574,0.006,0.493,0.537,UP
0.461,4,0.468,0.054,0.57,0.004,0.522,0.269,UP
0.022,7,0.021,0.046,0.242,0.003,0.423,0.415,DOWN
0.886,3,0.362,0.036,0.599,0.003,0.632,0.436,UP
0.461,7,0.149,0.029,0.118,0.002,0.177,0.711,DOWN
0.46,4,0.872,0.03,0.47,0.002,0.426,0.509,DOWN
0.022,2,0.638,0.058,0.453,0.003,0.423,0.415,DOWN
0.461,7,0.872,0.029,0.335,0.001,0.283,0.772,UP
0.868,3,0.447,0.035,0.529,0.002,0.358,0.825,DOWN
0.023,6,0.894,0.048,0.298,0.003,0.423,0.415,DOWN
0.469,7,0.362,0.039,0.445,0.003,0.319,0.511,DOWN
0.872,4,0.872,0.031,0.517,0.002,0.527,0.572,DOWN
0.429,6,0.447,0.078,0.356,0.003,0.423,0.415,UP
0.876,4,0.723,0.032,0.537,0.002,0.582,0.526,UP
0.014,3,0.426,0.041,0.509,0.003,0.423,0.415,DOWN
0.438,7,0.213,0.047,0.12,0.003,0.423,0.415,DOWN
0.912,6,0.681,0.044,0.386,0.003,0.298,0.658,DOWN
0.894,6,0.638,0.084,0.602,0.006,0.639,0.367,UP
0.018,4,0.468,0.079,0.471,0.003,0.423,0.415,UP
0.434,7,0.702,0.042,0.248,0.003,0.423,0.415,DOWN
0.452,6,0.723,0.048,0.634,0.003,0.597,0.293,UP
0.014,4,0.979,0.041,0.519,0.003,0.423,0.415,DOWN
0.004,2,0.447,0.045,0.578,0.003,0.423,0.415,DOWN
0.912,5,0.702,0.044,0.506,0.003,0.533,0.451,DOWN
0.017,7,0.681,0.065,0.452,0.003,0.423,0.415,DOWN
0.014,6,0.596,0.041,0.488,0.003,0.423,0.415,DOWN
0.894,3,0.106,0.072,0.211,0.005,0.366,0.768,DOWN
0.885,2,0.511,0.035,0.669,0.002,0.63,0.369,DOWN
0.023,5,0.149,0.06,0.119,0.003,0.423,0.415,DOWN
0.47,4,1.0,0.039,0.642,0.003,0.541,0.397,DOWN
0.899,5,0.66,0.054,0.567,0.004,0.687,0.478,DOWN
0.464,3,0.043,0.029,0.273,0.002,0.333,0.342,DOWN
0.018,4,0.191,0.047,0.156,0.003,0.423,0.415,DOWN
0.014,7,0.617,0.041,0.285,0.003,0.423,0.415,DOWN
0.425,6,0.149,0.055,0.133,0.003,0.423,0.415,DOWN
0.023,5,0.66,0.085,0.454,0.003,0.423,0.415,DOWN
0.456,7,0.66,0.033,0.401,0.002,0.292,0.728,DOWN
0.023,5,0.702,0.085,0.454,0.003,0.423,0.415,DOWN
0.032,6,0.532,0.055,0.309,0.003,0.423,0.415,DOWN
0.013,5,0.596,0.056,0.514,0.003,0.423,0.415,UP
0.018,3,0.383,0.078,0.538,0.003,0.423,0.415,UP
0.022,7,0.319,0.067,0.213,0.003,0.423,0.415,UP
0.894,6,0.936,0.085,0.62,0.006,0.573,0.544,UP
0.912,6,0.191,0.04,0.152,0.003,0.286,0.593,DOWN
0.004,7,0.787,0.045,0.277,0.003,0.423,0.415,DOWN
0.43,6,0.362,0.082,0.497,0.003,0.423,0.415,UP
0.022,3,0.149,0.046,0.152,0.003,0.423,0.415,DOWN
0.456,3,0.362,0.031,0.545,0.002,0.562,0.518,DOWN
0.474,4,0.936,0.028,0.405,0.002,0.297,0.57,DOWN
0.018,1,0.17,0.062,0.14,0.003,0.423,0.415,DOWN
0.474,1,0.255,0.025,0.291,0.002,0.147,0.724,DOWN
0.426,5,0.298,0.053,0.465,0.003,0.423,0.415,DOWN
0.907,6,0.809,0.076,0.496,0.003,0.525,0.361,UP
0.881,5,0.553,0.029,0.528,0.002,0.549,0.444,DOWN
0.022,4,0.532,0.057,0.451,0.003,0.423,0.415,DOWN
0.456,5,0.596,0.057,0.623,0.004,0.604,0.392,UP
0.022,3,0.532,0.071,0.47,0.003,0.423,0.415,UP
0.424,3,0.553,0.056,0.356,0.003,0.423,0.415,DOWN
0.912,5,0.915,0.045,0.439,0.003,0.354,0.625,DOWN
0.027,6,0.596,0.048,0.391,0.003,0.423,0.415,DOWN
0.425,4,0.319,0.073,0.482,0.003,0.423,0.415,DOWN
0.898,7,0.319,0.061,0.45,0.003,0.323,0.729,DOWN
0.014,2,0.426,0.076,0.609,0.003,0.423,0.415,UP
0.452,3,0.383,0.065,0.741,0.004,0.571,0.652,DOWN
0.429,5,0.66,0.078,0.482,0.003,0.423,0.415,UP
0.023,2,0.34,0.106,0.489,0.003,0.423,0.415,DOWN
0.018,4,1.0,0.046,0.415,0.003,0.423,0.415,DOWN
0.425,3,0.213,0.089,0.254,0.003,0.423,0.415,UP
0.014,5,0.745,0.041,0.675,0.003,0.423,0.415,DOWN
0.868,7,0.851,0.035,0.417,0.002,0.352,0.824,UP
0.009,2,0.596,0.042,0.517,0.003,0.423,0.415,DOWN
0.456,5,0.298,0.035,0.477,0.002,0.507,0.579,DOWN
0.438,5,0.255,0.05,0.397,0.003,0.423,0.415,UP
0.46,1,0.851,0.028,0.339,0.002,0.287,0.625,DOWN
0.001,1,0.064,0.044,0.241,0.003,0.423,0.415,DOWN
0.448,4,0.766,0.064,0.726,0.004,0.639,0.354,DOWN
0.018,6,0.17,0.041,0.178,0.003,0.423,0.415,DOWN
0.456,3,0.511,0.045,0.534,0.003,0.605,0.479,DOWN
0.027,4,0.043,0.085,0.343,0.003,0.423,0.415,UP
0.868,2,0.255,0.035,0.371,0.002,0.378,0.644,DOWN
0.876,4,0.17,0.021,0.237,0.001,0.363,0.772,DOWN
0.434,6,0.979,0.044,0.258,0.003,0.423,0.415,DOWN
0.886,4,0.426,0.049,0.642,0.003,0.542,0.379,DOWN
0.443,1,0.234,0.044,0.238,0.003,0.184,0.607,DOWN
0.425,5,0.723,0.082,0.366,0.003,0.423,0.415,UP
0.425,4,0.83,0.058,0.447,0.003,0.423,0.415,DOWN
0.001,4,0.681,0.044,0.561,0.003,0.423,0.415,DOWN
0.438,6,0.191,0.047,0.09,0.003,0.423,0.415,DOWN
0.004,4,0.66,0.044,0.505,0.003,0.423,0.415,DOWN
0.473,5,0.17,0.029,0.183,0.002,0.184,0.73,DOWN
0.46,3,0.043,0.041,0.306,0.003,0.333,0.487,DOWN
0.425,6,0.681,0.075,0.261,0.003,0.423,0.415,DOWN
0.004,5,0.064,0.044,0.302,0.003,0.423,0.415,DOWN
0.434,7,0.979,0.048,0.261,0.003,0.423,0.415,DOWN
0.912,3,0.149,0.043,0.169,0.003,0.283,0.647,DOWN
0.898,1,0.213,0.041,0.202,0.002,0.334,0.758,DOWN
0.005,6,0.489,0.075,0.715,0.003,0.423,0.415,UP
0.434,1,0.574,0.065,0.507,0.003,0.423,0.415,UP
0.448,3,0.149,0.026,0.22,0.001,0.305,0.598,DOWN
0.464,7,0.979,0.03,0.345,0.002,0.366,0.495,UP
0.457,5,0.745,0.036,0.539,0.002,0.499,0.58,DOWN
0.425,6,0.894,0.089,0.298,0.003,0.423,0.415,UP
0.448,3,0.872,0.044,0.607,0.003,0.514,0.59,DOWN
0.867,6,0.404,0.029,0.564,0.002,0.539,0.574,DOWN
0.434,2,0.936,0.061,0.425,0.003,0.423,0.415,UP
0.456,6,1.0,0.039,0.486,0.003,0.427,0.542,DOWN
0.447,5,0.191,0.042,0.231,0.003,0.28,0.533,DOWN
0.474,5,0.404,0.03,0.611,0.002,0.533,0.529,DOWN
0.442,7,0.936,0.055,0.308,0.003,0.423,0.415,DOWN
0.868,5,0.809,0.029,0.422,0.002,0.371,0.767,DOWN
0.443,4,0.191,0.035,0.16,0.002,0.157,0.697,DOWN
0.031,1,0.489,0.059,0.503,0.003,0.423,0.415,DOWN
0.009,7,0.319,0.08,0.337,0.003,0.423,0.415,UP
0.425,6,0.149,0.055,0.151,0.003,0.423,0.415,DOWN
0.461,2,0.532,0.036,0.454,0.002,0.558,0.189,DOWN
0.009,5,0.149,0.045,0.267,0.003,0.423,0.415,DOWN
0.032,7,0.021,0.055,0.231,0.003,0.423,0.415,DOWN
0.434,4,0.426,0.069,0.532,0.003,0.423,0.415,DOWN
0.456,4,0.34,0.092,0.51,0.006,0.596,0.482,UP
0.474,5,0.085,0.023,0.171,0.002,0.193,0.817,DOWN
0.447,6,0.064,0.026,0.234,0.002,0.354,0.761,DOWN
0.014,5,0.085,0.047,0.355,0.003,0.423,0.415,DOWN
0.001,7,0.234,0.075,0.092,0.003,0.423,0.415,DOWN
0.895,2,0.851,0.076,0.793,0.005,0.603,0.735,DOWN
0.474,1,0.809,0.029,0.581,0.002,0.426,0.591,UP
0.456,4,0.043,0.033,0.349,0.002,0.394,0.675,DOWN
0.027,4,0.979,0.075,0.425,0.003,0.423,0.415,UP
0.438,6,0.362,0.068,0.456,0.003,0.423,0.415,UP
0.01,5,0.021,0.041,0.462,0.003,0.423,0.415,DOWN
0.032,6,0.191,0.055,0.085,0.003,0.423,0.415,DOWN
0.465,7,0.085,0.027,0.177,0.002,0.202,0.364,DOWN
0.868,1,0.404,0.027,0.603,0.002,0.284,0.776,UP
0.443,2,0.638,0.076,0.564,0.005,0.509,0.493,UP
0.469,5,0.936,0.047,0.447,0.003,0.392,0.48,DOWN
0.443,3,0.809,0.078,0.531,0.005,0.526,0.495,UP
0.885,7,0.681,0.042,0.337,0.003,0.307,0.577,UP
0.014,5,0.468,0.041,0.523,0.003,0.423,0.415,DOWN
0.456,4,0.894,0.04,0.651,0.003,0.478,0.541,DOWN
0.001,6,0.702,0.044,0.416,0.003,0.423,0.415,DOWN
0.023,6,0.447,0.103,0.499,0.003,0.423,0.415,UP
0.474,2,0.447,0.028,0.499,0.002,0.387,0.729,DOWN
0.469,7,0.83,0.031,0.357,0.002,0.291,0.649,UP
0.439,2,0.064,0.056,0.352,0.003,0.423,0.415,DOWN
0.447,3,0.851,0.047,0.48,0.003,0.491,0.488,UP
0.894,7,0.064,0.031,0.264,0.002,0.37,0.61,DOWN
0.885,7,0.404,0.035,0.497,0.002,0.348,0.82,UP
0.005,7,0.723,0.09,0.551,0.003,0.423,0.415,UP
0.894,3,0.745,0.085,0.608,0.005,0.694,0.579,DOWN
0.426,4,0.553,0.076,0.498,0.003,0.423,0.415,UP
0.881,5,0.489,0.03,0.503,0.002,0.557,0.527,DOWN
0.005,6,0.809,0.081,0.583,0.003,0.423,0.415,UP
0.461,2,0.809,0.043,0.433,0.003,0.352,0.286,UP
0.438,4,0.489,0.067,0.516,0.003,0.423,0.415,DOWN
0.026,3,0.574,0.08,0.488,0.003,0.423,0.415,UP
0.457,6,0.66,0.033,0.553,0.002,0.459,0.629,DOWN
0.018,5,0.043,0.052,0.416,0.003,0.423,0.415,DOWN
0.457,6,0.468,0.039,0.61,0.003,0.469,0.612,DOWN
0.894,1,0.894,0.046,0.36,0.003,0.367,0.702,DOWN
0.872,6,0.638,0.037,0.748,0.003,0.658,0.571,DOWN
0.474,2,0.83,0.028,0.415,0.002,0.362,0.499,DOWN
0.873,6,0.17,0.021,0.141,0.001,0.182,0.879,DOWN
0.004,6,0.277,0.043,0.235,0.003,0.423,0.415,DOWN
0.438,4,0.574,0.049,0.516,0.003,0.423,0.415,DOWN
0.031,3,0.17,0.078,0.22,0.003,0.423,0.415,DOWN
0.911,3,0.83,0.031,0.591,0.002,0.528,0.355,DOWN
0.018,3,0.745,0.09,0.632,0.003,0.423,0.415,UP
0.47,4,0.404,0.028,0.51,0.002,0.579,0.519,UP
0.425,2,0.638,0.075,0.297,0.003,0.423,0.415,UP
0.01,3,0.511,0.042,0.559,0.003,0.423,0.415,DOWN
0.429,6,0.383,0.085,0.521,0.003,0.423,0.415,UP
0.881,3,0.489,0.031,0.575,0.002,0.579,0.419,DOWN
0.456,4,0.404,0.036,0.578,0.002,0.555,0.493,DOWN
0.009,3,0.426,0.042,0.655,0.003,0.423,0.415,DOWN
0.452,7,0.851,0.033,0.508,0.002,0.38,0.698,UP
0.005,1,0.872,0.044,0.489,0.003,0.423,0.415,DOWN
0.014,3,0.021,0.044,0.481,0.003,0.423,0.415,DOWN
0.023,7,0.064,0.064,0.106,0.003,0.423,0.415,DOWN
0.009,7,0.894,0.071,0.295,0.003,0.423,0.415,UP
0.018,4,0.128,0.043,0.167,0.003,0.423,0.415,DOWN
0.429,3,0.489,0.081,0.509,0.003,0.423,0.415,DOWN
